Name,Type,Category,Power,Accuracy,Source
Agility,Psychic,Status,0,0,TM
Alluring Voice,Fairy,Special,80,100,TM
Attract,Normal,Status,0,100,TM
Baby-Doll Eyes,Fairy,Status,0,100,Level
Baton Pass,Normal,Status,0,0,"Level, TM"
Bite,Dark,Physical,60,100,Level
Body Press,Fighting,Physical,80,100,TM
Body Slam,Normal,Physical,85,100,TM
Charm,Fairy,Status,0,100,"Level, TM"
Covet,Normal,Physical,60,100,"Level, TM"
Crunch,Dark,Physical,80,100,"Level, TM"
Dazzling Gleam,Fairy,Special,80,100,TM
Dig,Ground,Physical,80,100,TM
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,"Level, TM"
Draining Kiss,Fairy,Special,50,100,TM
Endeavor,Normal,Physical,0,100,TM
Endure,Normal,Status,0,0,TM
Facade,Normal,Physical,70,100,TM
Fire Fang,Fire,Physical,65,95,TM
Frustration,Normal,Physical,0,100,TM
Giga Impact,Normal,Physical,150,90,TM
Growl,Normal,Status,0,100,Level
Helping Hand,Normal,Status,0,0,TM
Hidden Power,Normal,Special,60,100,TM
Hyper Beam,Normal,Special,150,90,TM
Ice Fang,Ice,Physical,65,95,TM
Last Resort,Normal,Physical,140,100,Level
Lick,Ghost,Physical,30,100,Level
Misty Terrain,Fairy,Status,0,0,TM
Mud Shot,Ground,Special,55,95,TM
Mud-Slap,Ground,Special,20,100,TM
Play Rough,Fairy,Physical,90,90,"Level, TM"
Protect,Normal,Status,0,0,TM
Psychic Fangs,Psychic,Physical,85,100,TM
Rain Dance,Water,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Roar,Normal,Status,0,0,"Level, TM"
Scary Face,Normal,Status,0,100,TM
Secret Power,Normal,Physical,70,100,TM
Sleep Talk,Normal,Status,0,0,TM
Snarl,Dark,Special,55,95,TM
Stomping Tantrum,Ground,Physical,75,100,TM
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Tackle,Normal,Physical,40,100,Level
Tail Whip,Normal,Status,0,100,Level
Take Down,Normal,Physical,90,85,TM
Tera Blast,Normal,Special,80,100,TM
Thunder Fang,Electric,Physical,65,95,TM
Trailblaze,Grass,Physical,50,100,TM
Work Up,Normal,Status,0,0,"Level, TM"
