Name,Type,Category,Power,Accuracy,Source
Acid Spray,Poison,Special,40,100,TM
Amnesia,Psychic,Status,0,0,TM
Attract,Normal,Status,0,100,TM
Body Slam,Normal,Physical,85,100,TM
Bulldoze,Ground,Physical,60,100,TM
Bullet Seed,Grass,Physical,25,100,TM
Charm,Fairy,Status,0,100,TM
Confide,Normal,Status,0,0,TM
Curse,Ghost,Status,0,0,TM
Cut,Normal,Physical,50,95,TM
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Earth Power,Ground,Special,90,100,TM
Earthquake,Ground,Physical,100,100,TM
Echoed Voice,Normal,Special,40,100,TM
Endure,Normal,Status,0,0,TM
Energy Ball,Grass,Special,90,100,TM
Facade,Normal,Physical,70,100,TM
False Swipe,Normal,Physical,40,100,TM
Flash,Normal,Status,0,100,TM
Frenzy Plant,Grass,Special,150,90,TM
Frustration,Normal,Physical,0,100,TM
Giga Drain,Grass,Special,75,100,TM
Giga Impact,Normal,Physical,150,90,TM
Grass Knot,Grass,Special,0,100,TM
Grass Pledge,Grass,Special,80,100,TM
Grassy Glide,Grass,Physical,55,100,TM
Grassy Terrain,Grass,Status,0,0,TM
Growl,Normal,Status,0,100,Level
Growth,Normal,Status,0,0,Level
Helping Hand,Normal,Status,0,0,TM
Hidden Power,Normal,Special,60,100,TM
Hyper Beam,Normal,Special,150,90,TM
Knock Off,Dark,Physical,65,100,TM
Leaf Storm,Grass,Special,130,90,TM
Leech Seed,Grass,Status,0,90,Level
Light Screen,Psychic,Status,0,0,TM
Magical Leaf,Grass,Special,60,0,TM
Mud-Slap,Ground,Special,20,100,TM
Nature Power,Normal,Status,0,0,TM
Outrage,Dragon,Physical,120,100,TM
Petal Blizzard,Grass,Physical,90,100,"Level, TM"
Petal Dance,Grass,Special,120,100,Level
Poison Powder,Poison,Status,0,75,Level
Power Whip,Grass,Physical,120,85,"Level, TM"
Protect,Normal,Status,0,0,TM
Razor Leaf,Grass,Physical,55,95,Level
Reflect,Psychic,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Roar,Normal,Status,0,0,TM
Rock Climb,Normal,Physical,90,85,TM
Rock Smash,Fighting,Physical,40,100,TM
Round,Normal,Special,60,100,TM
Safeguard,Normal,Status,0,0,TM
Secret Power,Normal,Physical,70,100,TM
Seed Bomb,Grass,Physical,80,100,"Level, TM"
Sleep Powder,Grass,Status,0,75,Level
Sleep Talk,Normal,Status,0,0,TM
Sludge Bomb,Poison,Special,90,100,TM
Snore,Normal,Special,50,100,TM
Solar Beam,Grass,Special,120,100,"Level, TM"
Stomping Tantrum,Ground,Physical,75,100,TM
Strength,Normal,Physical,80,100,TM
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Swagger,Normal,Status,0,85,TM
Sweet Scent,Normal,Status,0,100,Level
Swords Dance,Normal,Status,0,0,TM
Synthesis,Grass,Status,0,0,"Level, TM"
Tackle,Normal,Physical,40,100,Level
Take Down,Normal,Physical,90,85,"Level, TM"
Tera Blast,Normal,Special,80,100,TM
Terrain Pulse,Normal,Special,50,100,TM
Toxic,Poison,Status,0,90,TM
Trailblaze,Grass,Physical,50,100,TM
Venoshock,Poison,Special,65,100,TM
Vine Whip,Grass,Physical,45,100,Level
Weather Ball,Normal,Special,50,100,TM
Work Up,Normal,Status,0,0,TM
Worry Seed,Grass,Status,0,100,"Level, TM"
