Name,Type,Category,Power,Accuracy,Source
Acid,Poison,Special,40,100,Level
Acid Spray,Poison,Special,40,100,TM
Attract,Normal,Status,0,100,TM
Body Slam,Normal,Physical,85,100,TM
Bug Bite,Bug,Physical,60,100,TM
Bullet Seed,Grass,Physical,25,100,TM
Confide,Normal,Status,0,0,TM
Curse,Ghost,Status,0,0,TM
Cut,Normal,Physical,50,95,TM
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Encore,Normal,Status,0,100,TM
Endure,Normal,Status,0,0,TM
Energy Ball,Grass,Special,90,100,TM
Facade,Normal,Physical,70,100,TM
Flash,Normal,Status,0,100,TM
Frustration,Normal,Physical,0,100,TM
Gastro Acid,Poison,Status,0,100,"Level, TM"
Giga Drain,Grass,Special,75,100,TM
Giga Impact,Normal,Physical,150,90,TM
Grass Knot,Grass,Special,0,100,TM
Grassy Glide,Grass,Physical,55,100,TM
Grassy Terrain,Grass,Status,0,0,TM
Growth,Normal,Status,0,0,Level
Hidden Power,Normal,Special,60,100,TM
Hyper Beam,Normal,Special,150,90,TM
Infestation,Bug,Special,20,100,TM
Knock Off,Dark,Physical,65,100,"Level, TM"
Leaf Blade,Grass,Physical,90,100,"Level, TM"
Leaf Storm,Grass,Special,130,90,"Level, TM"
Leech Life,Bug,Physical,80,100,TM
Lunge,Bug,Physical,80,100,TM
Magical Leaf,Grass,Special,60,0,TM
Nature Power,Normal,Status,0,0,TM
Poison Jab,Poison,Physical,80,100,"Level, TM"
Poison Powder,Poison,Status,0,75,Level
Pounce,Bug,Physical,50,100,TM
Power Whip,Grass,Physical,120,85,"Level, TM"
Protect,Normal,Status,0,0,TM
Razor Leaf,Grass,Physical,55,95,Level
Reflect,Psychic,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Round,Normal,Special,60,100,TM
Scary Face,Normal,Status,0,100,TM
Secret Power,Normal,Physical,70,100,TM
Seed Bomb,Grass,Physical,80,100,TM
Slam,Normal,Physical,80,75,Level
Sleep Powder,Grass,Status,0,75,Level
Sleep Talk,Normal,Status,0,0,TM
Sludge Bomb,Poison,Special,90,100,TM
Sludge Wave,Poison,Special,95,100,TM
Snore,Normal,Special,50,100,TM
Solar Beam,Grass,Special,120,100,TM
Spit Up,Normal,Special,0,0,Level
Stockpile,Normal,Status,0,0,Level
Stun Spore,Grass,Status,0,75,Level
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Swagger,Normal,Status,0,85,TM
Swallow,Normal,Status,0,0,Level
Sweet Scent,Normal,Status,0,100,Level
Swift,Normal,Special,60,0,TM
Swords Dance,Normal,Status,0,0,TM
Synthesis,Grass,Status,0,0,TM
Take Down,Normal,Physical,90,85,TM
Tera Blast,Normal,Special,80,100,TM
Thief,Dark,Physical,60,100,TM
Toxic,Poison,Status,0,90,TM
Trailblaze,Grass,Physical,50,100,TM
Venoshock,Poison,Special,65,100,TM
Vine Whip,Grass,Physical,45,100,Level
Weather Ball,Normal,Special,50,100,TM
Worry Seed,Grass,Status,0,100,TM
Wrap,Normal,Physical,15,90,Level
