Name,Type,Category,Power,Accuracy,Source
Aerial Ace,Flying,Physical,60,0,"Level, TM"
Air Slash,Flying,Special,75,95,TM
Attract,Normal,Status,0,100,TM
Autotomize,Steel,Status,0,0,Level
Brick Break,Fighting,Physical,75,100,TM
Brutal Swing,Dark,Physical,60,100,TM
Close Combat,Fighting,Physical,120,100,TM
Confide,Normal,Status,0,0,TM
Cut,Normal,Physical,50,95,TM
Double Team,Normal,Status,0,0,TM
Endure,Normal,Status,0,0,TM
Facade,Normal,Physical,70,100,TM
False Swipe,Normal,Physical,40,100,TM
Flash Cannon,Steel,Special,80,100,TM
Frustration,Normal,Physical,0,100,TM
Fury Cutter,Bug,Physical,40,95,Level
Giga Impact,Normal,Physical,150,90,TM
Gyro Ball,Steel,Physical,0,100,TM
Head Smash,Rock,Physical,150,80,Level
Hidden Power,Normal,Special,60,100,TM
Hyper Beam,Normal,Special,150,90,TM
Iron Defense,Steel,Status,0,0,"Level, TM"
Iron Head,Steel,Physical,80,100,"Level, TM"
King's Shield,Steel,Status,0,0,Level
Metal Sound,Steel,Status,0,85,"Level, TM"
Night Slash,Dark,Physical,70,100,Level
Power Trick,Psychic,Status,0,0,Level
Protect,Normal,Status,0,0,TM
Psycho Cut,Psychic,Physical,70,100,TM
Pursuit,Dark,Physical,40,100,Level
Rain Dance,Water,Status,0,0,TM
Reflect,Psychic,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Retaliate,Normal,Physical,70,100,"Level, TM"
Return,Normal,Physical,0,100,TM
Reversal,Fighting,Physical,0,100,TM
Rock Slide,Rock,Physical,75,90,TM
Rock Smash,Fighting,Physical,40,100,TM
Round,Normal,Special,60,100,TM
Sacred Sword,Fighting,Physical,90,100,Level
Screech,Normal,Status,0,85,TM
Secret Power,Normal,Physical,70,100,TM
Shadow Ball,Ghost,Special,80,100,TM
Shadow Claw,Ghost,Physical,70,100,TM
Shadow Sneak,Ghost,Physical,40,100,Level
Slash,Normal,Physical,70,100,Level
Sleep Talk,Normal,Status,0,0,TM
Snore,Normal,Special,50,100,TM
Solar Blade,Grass,Physical,125,100,TM
Spite,Ghost,Status,0,100,TM
Steel Beam,Steel,Special,140,95,TM
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Swagger,Normal,Status,0,85,TM
Swords Dance,Normal,Status,0,0,"Level, TM"
Tackle,Normal,Physical,40,100,Level
Tera Blast,Normal,Special,80,100,TM
Toxic,Poison,Status,0,90,TM
