Name,Type,Category,Power,Accuracy,Source
Ally Switch,Psychic,Status,0,0,TM
Amnesia,Psychic,Status,0,0,"Level, TM"
Aqua Tail,Water,Physical,90,90,TM
Attract,Normal,Status,0,100,TM
Avalanche,Ice,Physical,60,100,TM
Blizzard,Ice,Special,110,70,TM
Body Slam,Normal,Physical,85,100,TM
Brick Break,Fighting,Physical,75,100,TM
Brine,Water,Special,65,100,TM
Bulldoze,Ground,Physical,60,100,TM
Calm Mind,Psychic,Status,0,0,TM
Chilling Water,Water,Special,50,100,TM
Chilly Reception,Ice,Status,0,0,Level
Confide,Normal,Status,0,0,TM
Confusion,Psychic,Special,50,100,Level
Curse,Ghost,Status,0,0,"Level, TM"
Dig,Ground,Physical,80,100,TM
Disable,Normal,Status,0,100,Level
Dive,Water,Physical,80,100,TM
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Dragon Tail,Dragon,Physical,60,90,TM
Drain Punch,Fighting,Physical,75,100,TM
Dream Eater,Psychic,Special,100,100,TM
Earthquake,Ground,Physical,100,100,TM
Echoed Voice,Normal,Special,40,100,TM
Endure,Normal,Status,0,0,TM
Expanding Force,Psychic,Special,80,100,TM
Facade,Normal,Physical,70,100,TM
Fire Blast,Fire,Special,110,85,TM
Fire Punch,Fire,Physical,75,100,TM
Flamethrower,Fire,Special,90,100,TM
Flash,Normal,Status,0,100,TM
Fling,Dark,Physical,0,100,TM
Focus Blast,Fighting,Special,120,70,TM
Focus Punch,Fighting,Physical,150,100,TM
Foul Play,Dark,Physical,95,100,TM
Frustration,Normal,Physical,0,100,TM
Future Sight,Psychic,Special,120,100,"Level, TM"
Giga Impact,Normal,Physical,150,90,TM
Grass Knot,Grass,Special,0,100,TM
Growl,Normal,Status,0,100,Level
Hail,Ice,Status,0,0,TM
Headbutt,Normal,Physical,70,100,Level
Heal Pulse,Psychic,Status,0,0,Level
Hidden Power,Normal,Special,60,100,TM
Hydro Pump,Water,Special,110,80,TM
Hyper Beam,Normal,Special,150,90,TM
Ice Beam,Ice,Special,90,100,TM
Ice Punch,Ice,Physical,75,100,TM
Icy Wind,Ice,Special,55,95,TM
Imprison,Psychic,Status,0,100,TM
Incinerate,Fire,Special,60,100,TM
Iron Defense,Steel,Status,0,0,TM
Iron Tail,Steel,Physical,100,75,TM
Light Screen,Psychic,Status,0,0,TM
Liquidation,Water,Physical,85,100,TM
Mega Kick,Normal,Physical,120,75,TM
Mega Punch,Normal,Physical,80,85,TM
Metronome,Normal,Status,0,0,TM
Mud Shot,Ground,Special,55,95,TM
Mud-Slap,Ground,Special,20,100,TM
Muddy Water,Water,Special,90,85,TM
Nasty Plot,Dark,Status,0,0,"Level, TM"
Pay Day,Normal,Physical,40,100,TM
Power Gem,Rock,Special,80,100,"Level, TM"
Power-Up Punch,Fighting,Physical,40,100,TM
Protect,Normal,Status,0,0,TM
Psybeam,Psychic,Special,65,100,TM
Psych Up,Normal,Status,0,0,"Level, TM"
Psychic,Psychic,Special,90,100,"Level, TM"
Psychic Noise,Psychic,Special,75,100,TM
Psychic Terrain,Psychic,Status,0,0,TM
Psyshock,Psychic,Special,80,100,TM
Quash,Dark,Status,0,100,TM
Rain Dance,Water,Status,0,0,"Level, TM"
Razor Shell,Water,Physical,75,95,TM
Recycle,Normal,Status,0,0,TM
Reflect,Psychic,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Rock Slide,Rock,Physical,75,90,TM
Rock Smash,Fighting,Physical,40,100,TM
Rock Tomb,Rock,Physical,60,95,TM
Round,Normal,Special,60,100,TM
Safeguard,Normal,Status,0,0,TM
Scald,Water,Special,80,100,TM
Secret Power,Normal,Physical,70,100,TM
Shadow Ball,Ghost,Special,80,100,TM
Signal Beam,Bug,Special,75,100,TM
Skill Swap,Psychic,Status,0,0,TM
Slack Off,Normal,Status,0,0,Level
Sleep Talk,Normal,Status,0,0,TM
Snore,Normal,Special,50,100,TM
Snowscape,Ice,Status,0,0,TM
Stored Power,Psychic,Special,20,100,TM
Strength,Normal,Physical,80,100,TM
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Surf,Water,Special,90,100,"Level, TM"
Swagger,Normal,Status,0,85,"Level, TM"
Swift,Normal,Special,60,0,TM
Tackle,Normal,Physical,40,100,Level
Take Down,Normal,Physical,90,85,TM
Tera Blast,Normal,Special,80,100,TM
Thunder Punch,Electric,Physical,75,100,TM
Thunder Wave,Electric,Status,0,90,TM
Toxic,Poison,Status,0,90,TM
Tri Attack,Normal,Special,80,100,TM
Trick,Psychic,Status,0,100,TM
Trick Room,Psychic,Status,0,0,TM
Water Gun,Water,Special,40,100,Level
Water Pulse,Water,Special,60,100,"Level, TM"
Waterfall,Water,Physical,80,100,TM
Weather Ball,Normal,Special,50,100,TM
Whirlpool,Water,Special,35,85,TM
Wonder Room,Psychic,Status,0,0,TM
Yawn,Normal,Status,0,0,Level
Zen Headbutt,Psychic,Physical,80,90,"Level, TM"
