Name,Type,Category,Power,Accuracy,Source
Agility,Psychic,Status,0,0,"Level, TM"
Aqua Jet,Water,Physical,40,100,Level
Assurance,Dark,Physical,60,100,TM
Attract,Normal,Status,0,100,TM
Avalanche,Ice,Physical,60,100,TM
Bite,Dark,Physical,60,100,Level
Blizzard,Ice,Special,110,70,TM
Bounce,Flying,Physical,85,85,TM
Brine,Water,Special,65,100,TM
Bulldoze,Ground,Physical,60,100,TM
Close Combat,Fighting,Physical,120,100,TM
Confide,Normal,Status,0,0,TM
Crunch,Dark,Physical,80,100,"Level, TM"
Dark Pulse,Dark,Special,80,100,TM
Dive,Water,Physical,80,100,TM
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Earthquake,Ground,Physical,100,100,TM
Endure,Normal,Status,0,0,TM
Facade,Normal,Physical,70,100,TM
Flip Turn,Water,Physical,60,100,TM
Focus Energy,Normal,Status,0,0,"Level, TM"
Frustration,Normal,Physical,0,100,TM
Giga Impact,Normal,Physical,150,90,TM
Hail,Ice,Status,0,0,TM
Hidden Power,Normal,Special,60,100,TM
Hydro Pump,Water,Special,110,80,TM
Hyper Beam,Normal,Special,150,90,TM
Ice Beam,Ice,Special,90,100,TM
Ice Fang,Ice,Physical,65,95,"Level, TM"
Icy Wind,Ice,Special,55,95,TM
Leer,Normal,Status,0,100,Level
Liquidation,Water,Physical,85,100,"Level, TM"
Mud-Slap,Ground,Special,20,100,TM
Night Slash,Dark,Physical,70,100,Level
Payback,Dark,Physical,50,100,TM
Poison Fang,Poison,Physical,50,100,Level
Poison Jab,Poison,Physical,80,100,TM
Protect,Normal,Status,0,0,TM
Psychic Fangs,Psychic,Physical,85,100,TM
Rain Dance,Water,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Retaliate,Normal,Physical,70,100,TM
Return,Normal,Physical,0,100,TM
Roar,Normal,Status,0,0,TM
Rock Smash,Fighting,Physical,40,100,TM
Rock Tomb,Rock,Physical,60,95,TM
Round,Normal,Special,60,100,TM
Scald,Water,Special,80,100,TM
Scale Shot,Dragon,Physical,25,90,TM
Scary Face,Normal,Status,0,100,"Level, TM"
Screech,Normal,Status,0,85,"Level, TM"
Secret Power,Normal,Physical,70,100,TM
Slash,Normal,Physical,70,100,Level
Sleep Talk,Normal,Status,0,0,TM
Snarl,Dark,Special,55,95,TM
Snore,Normal,Special,50,100,TM
Spite,Ghost,Status,0,100,TM
Strength,Normal,Physical,80,100,TM
Substitute,Normal,Status,0,0,TM
Super Fang,Normal,Physical,0,90,TM
Surf,Water,Special,90,100,TM
Swagger,Normal,Status,0,85,"Level, TM"
Swift,Normal,Special,60,0,TM
Take Down,Normal,Physical,90,85,"Level, TM"
Taunt,Dark,Status,0,100,TM
Tera Blast,Normal,Special,80,100,TM
Thief,Dark,Physical,60,100,TM
Torment,Dark,Status,0,100,TM
Toxic,Poison,Status,0,90,TM
Uproar,Normal,Special,90,100,TM
Water Pulse,Water,Special,60,100,TM
Waterfall,Water,Physical,80,100,TM
Whirlpool,Water,Special,35,85,TM
Zen Headbutt,Psychic,Physical,80,90,TM
