Name,Type,Category,Power,Accuracy,Source
Acrobatics,Flying,Physical,55,100,TM
Alluring Voice,Fairy,Special,80,100,TM
Amnesia,Psychic,Status,0,0,TM
Aqua Jet,Water,Physical,40,100,Level
Aqua Tail,Water,Physical,90,90,TM
Attract,Normal,Status,0,100,TM
Baby-Doll Eyes,Fairy,Status,0,100,Level
Blizzard,Ice,Special,110,70,TM
Body Slam,Normal,Physical,85,100,TM
Brine,Water,Special,65,100,TM
Bubble Beam,Water,Special,65,100,Level
Calm Mind,Psychic,Status,0,0,TM
Charm,Fairy,Status,0,100,TM
Chilling Water,Water,Special,50,100,TM
Confide,Normal,Status,0,0,TM
Covet,Normal,Physical,60,100,TM
Dazzling Gleam,Fairy,Special,80,100,TM
Disarming Voice,Fairy,Special,40,0,"Level, TM"
Dive,Water,Physical,80,100,TM
Double Team,Normal,Status,0,0,TM
Draining Kiss,Fairy,Special,50,100,TM
Echoed Voice,Normal,Special,40,100,TM
Encore,Normal,Status,0,100,"Level, TM"
Endure,Normal,Status,0,0,TM
Energy Ball,Grass,Special,90,100,TM
Facade,Normal,Physical,70,100,TM
Flip Turn,Water,Physical,60,100,TM
Frustration,Normal,Physical,0,100,TM
Giga Impact,Normal,Physical,150,90,TM
Growl,Normal,Status,0,100,Level
Hail,Ice,Status,0,0,TM
Haze,Ice,Status,0,0,TM
Helping Hand,Normal,Status,0,0,TM
Hidden Power,Normal,Special,60,100,TM
Hydro Cannon,Water,Special,150,90,TM
Hydro Pump,Water,Special,110,80,"Level, TM"
Hyper Beam,Normal,Special,150,90,TM
Hyper Voice,Normal,Special,90,100,"Level, TM"
Ice Beam,Ice,Special,90,100,TM
Ice Spinner,Ice,Physical,80,100,TM
Icy Wind,Ice,Special,55,95,"Level, TM"
Iron Tail,Steel,Physical,100,75,TM
Light Screen,Psychic,Status,0,0,TM
Liquidation,Water,Physical,85,100,TM
Misty Explosion,Fairy,Special,100,100,TM
Misty Terrain,Fairy,Status,0,0,"Level, TM"
Moonblast,Fairy,Special,95,100,Level
Play Rough,Fairy,Physical,90,90,TM
Pound,Normal,Physical,40,100,Level
Protect,Normal,Status,0,0,TM
Psych Up,Normal,Status,0,0,TM
Psychic,Psychic,Special,90,100,TM
Psychic Noise,Psychic,Special,75,100,TM
Rain Dance,Water,Status,0,0,TM
Reflect,Psychic,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Round,Normal,Special,60,100,TM
Scald,Water,Special,80,100,TM
Secret Power,Normal,Physical,70,100,TM
Shadow Ball,Ghost,Special,80,100,TM
Sing,Normal,Status,0,55,Level
Sleep Talk,Normal,Status,0,0,TM
Snore,Normal,Special,50,100,TM
Snowscape,Ice,Status,0,0,TM
Sparkling Aria,Water,Special,90,100,Level
Stored Power,Psychic,Special,20,100,TM
Substitute,Normal,Status,0,0,TM
Surf,Water,Special,90,100,TM
Swagger,Normal,Status,0,85,TM
Tera Blast,Normal,Special,80,100,TM
Toxic,Poison,Status,0,90,TM
Triple Axel,Ice,Physical,20,90,TM
Uproar,Normal,Special,90,100,TM
Water Gun,Water,Special,40,100,Level
Water Pledge,Water,Special,80,100,TM
Water Pulse,Water,Special,60,100,TM
Waterfall,Water,Physical,80,100,TM
Weather Ball,Normal,Special,50,100,TM
Whirlpool,Water,Special,35,85,TM
Wonder Room,Psychic,Status,0,0,TM
Work Up,Normal,Status,0,0,TM
