Name,Type,Category,Power,Accuracy,Source
Agility,Psychic,Status,0,0,"Level, TM"
Arm Thrust,Fighting,Physical,15,100,Level
Attract,Normal,Status,0,100,TM
Baton Pass,Normal,Status,0,0,TM
Bite,Dark,Physical,60,100,Level
Body Press,Fighting,Physical,80,100,TM
Brick Break,Fighting,Physical,75,100,TM
Bulk Up,Fighting,Status,0,0,TM
Charge,Electric,Status,0,0,"Level, TM"
Charge Beam,Electric,Special,50,90,TM
Charm,Fairy,Status,0,100,TM
Close Combat,Fighting,Physical,120,100,"Level, TM"
Coaching,Fighting,Status,0,0,TM
Crunch,Dark,Physical,80,100,TM
Dig,Ground,Physical,80,100,"Level, TM"
Discharge,Electric,Special,80,100,Level
Double Shock,Electric,Physical,120,100,Level
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Eerie Impulse,Electric,Status,0,100,TM
Electric Terrain,Electric,Status,0,0,TM
Electro Ball,Electric,Special,0,100,TM
Electroweb,Electric,Special,55,95,TM
Encore,Normal,Status,0,100,TM
Endure,Normal,Status,0,0,TM
Entrainment,Normal,Status,0,100,Level
Facade,Normal,Physical,70,100,TM
Fire Punch,Fire,Physical,75,100,TM
Fling,Dark,Physical,0,100,TM
Focus Blast,Fighting,Special,120,70,TM
Focus Punch,Fighting,Physical,150,100,TM
Frustration,Normal,Physical,0,100,TM
Giga Impact,Normal,Physical,150,90,TM
Grass Knot,Grass,Special,0,100,TM
Growl,Normal,Status,0,100,Level
Helping Hand,Normal,Status,0,0,TM
Hidden Power,Normal,Special,60,100,TM
Hyper Beam,Normal,Special,150,90,TM
Ice Punch,Ice,Physical,75,100,TM
Knock Off,Dark,Physical,65,100,TM
Low Kick,Fighting,Physical,0,100,TM
Low Sweep,Fighting,Physical,65,100,TM
Metal Claw,Steel,Physical,50,95,TM
Metronome,Normal,Status,0,0,TM
Nuzzle,Electric,Physical,20,100,Level
Play Rough,Fairy,Physical,90,90,TM
Protect,Normal,Status,0,0,TM
Quick Attack,Normal,Physical,40,100,Level
Rain Dance,Water,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Revival Blessing,Normal,Status,0,0,Level
Rock Tomb,Rock,Physical,60,95,TM
Scratch,Normal,Physical,40,100,Level
Secret Power,Normal,Physical,70,100,TM
Seed Bomb,Grass,Physical,80,100,TM
Slam,Normal,Physical,80,75,Level
Sleep Talk,Normal,Status,0,0,TM
Spark,Electric,Physical,65,100,Level
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Super Fang,Normal,Physical,0,90,TM
Supercell Slam,Electric,Physical,100,95,TM
Swift,Normal,Special,60,0,TM
Take Down,Normal,Physical,90,85,TM
Tera Blast,Normal,Special,80,100,TM
Thief,Dark,Physical,60,100,TM
Thunder,Electric,Special,110,70,TM
Thunder Fang,Electric,Physical,65,95,TM
Thunder Punch,Electric,Physical,75,100,TM
Thunder Shock,Electric,Special,40,100,Level
Thunder Wave,Electric,Status,0,90,"Level, TM"
Thunderbolt,Electric,Special,90,100,TM
Upper Hand,Fighting,Physical,65,100,TM
Volt Switch,Electric,Special,70,100,TM
Wild Charge,Electric,Physical,90,100,"Level, TM"
