Name,Type,Category,Power,Accuracy,Source
Aerial Ace,Flying,Physical,60,0,TM
Ally Switch,Psychic,Status,0,0,TM
Astonish,Ghost,Physical,30,100,Level
Attract,Normal,Status,0,100,TM
Body Slam,Normal,Physical,85,100,TM
Brick Break,Fighting,Physical,75,100,TM
Bulk Up,Fighting,Status,0,0,TM
Calm Mind,Psychic,Status,0,0,TM
Confide,Normal,Status,0,0,TM
Confuse Ray,Ghost,Status,0,100,TM
Counter,Fighting,Physical,0,100,TM
Cut,Normal,Physical,50,95,TM
Dark Pulse,Dark,Special,80,100,TM
Dazzling Gleam,Fairy,Special,80,100,TM
Detect,Fighting,Status,0,0,Level
Dig,Ground,Physical,80,100,TM
Disable,Normal,Status,0,100,Level
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Drain Punch,Fighting,Physical,75,100,TM
Dream Eater,Psychic,Special,100,100,TM
Embargo,Dark,Status,0,100,TM
Encore,Normal,Status,0,100,TM
Endure,Normal,Status,0,0,TM
Energy Ball,Grass,Special,90,100,TM
Facade,Normal,Physical,70,100,TM
Fake Out,Normal,Physical,40,100,Level
Fire Punch,Fire,Physical,75,100,TM
Flash,Normal,Status,0,100,TM
Fling,Dark,Physical,0,100,TM
Focus Punch,Fighting,Physical,150,100,TM
Foul Play,Dark,Physical,95,100,"Level, TM"
Frustration,Normal,Physical,0,100,TM
Fury Swipes,Normal,Physical,18,80,Level
Giga Drain,Grass,Special,75,100,TM
Giga Impact,Normal,Physical,150,90,TM
Gravity,Psychic,Status,0,0,TM
Gyro Ball,Steel,Physical,0,100,TM
Helping Hand,Normal,Status,0,0,TM
Hex,Ghost,Special,65,100,TM
Hidden Power,Normal,Special,60,100,TM
Hone Claws,Dark,Status,0,0,TM
Hyper Beam,Normal,Special,150,90,TM
Ice Punch,Ice,Physical,75,100,TM
Icy Wind,Ice,Special,55,95,TM
Imprison,Psychic,Status,0,100,TM
Incinerate,Fire,Special,60,100,TM
Knock Off,Dark,Physical,65,100,"Level, TM"
Lash Out,Dark,Physical,75,100,TM
Leer,Normal,Status,0,100,Level
Light Screen,Psychic,Status,0,0,TM
Low Kick,Fighting,Physical,0,100,TM
Low Sweep,Fighting,Physical,65,100,TM
Mean Look,Normal,Status,0,0,Level
Mega Kick,Normal,Physical,120,75,TM
Mega Punch,Normal,Physical,80,85,TM
Metal Claw,Steel,Physical,50,95,TM
Metronome,Normal,Status,0,0,TM
Mud Shot,Ground,Special,55,95,TM
Mud-Slap,Ground,Special,20,100,TM
Nasty Plot,Dark,Status,0,0,TM
Night Shade,Ghost,Special,0,100,"Level, TM"
Pain Split,Normal,Status,0,0,TM
Payback,Dark,Physical,50,100,TM
Phantom Force,Ghost,Physical,90,100,TM
Poison Jab,Poison,Physical,80,100,TM
Poltergeist,Ghost,Physical,110,90,TM
Power Gem,Rock,Special,80,100,"Level, TM"
Power-Up Punch,Fighting,Physical,40,100,TM
Protect,Normal,Status,0,0,TM
Psybeam,Psychic,Special,65,100,TM
Psych Up,Normal,Status,0,0,TM
Psychic,Psychic,Special,90,100,TM
Quash,Dark,Status,0,100,"Level, TM"
Rain Dance,Water,Status,0,0,TM
Reflect,Psychic,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Retaliate,Normal,Physical,70,100,TM
Return,Normal,Physical,0,100,TM
Rock Smash,Fighting,Physical,40,100,TM
Rock Tomb,Rock,Physical,60,95,TM
Round,Normal,Special,60,100,TM
Scratch,Normal,Physical,40,100,Level
Secret Power,Normal,Physical,70,100,TM
Shadow Ball,Ghost,Special,80,100,"Level, TM"
Shadow Claw,Ghost,Physical,70,100,"Level, TM"
Shadow Sneak,Ghost,Physical,40,100,Level
Signal Beam,Bug,Special,75,100,TM
Skill Swap,Psychic,Status,0,0,TM
Skitter Smack,Bug,Physical,70,90,TM
Sleep Talk,Normal,Status,0,0,TM
Snarl,Dark,Special,55,95,TM
Snore,Normal,Special,50,100,TM
Spite,Ghost,Status,0,100,TM
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Swagger,Normal,Status,0,85,TM
Take Down,Normal,Physical,90,85,TM
Taunt,Dark,Status,0,100,TM
Tera Blast,Normal,Special,80,100,TM
Thief,Dark,Physical,60,100,TM
Thunder Punch,Electric,Physical,75,100,TM
Thunder Wave,Electric,Status,0,90,TM
Torment,Dark,Status,0,100,TM
Toxic,Poison,Status,0,90,TM
Trick,Psychic,Status,0,100,TM
Water Pulse,Water,Special,60,100,TM
Will-O-Wisp,Fire,Status,0,85,TM
Wonder Room,Psychic,Status,0,0,TM
X-Scissor,Bug,Physical,80,100,TM
Zen Headbutt,Psychic,Physical,80,90,"Level, TM"
