Name,Type,Category,Power,Accuracy,Source
Alluring Voice,Fairy,Special,80,100,TM
Aqua Jet,Water,Physical,40,100,Level
Aqua Ring,Water,Status,0,0,Level
Aqua Tail,Water,Physical,90,90,"Level, TM"
Attract,Normal,Status,0,100,TM
Aurora Beam,Ice,Special,65,100,Level
Avalanche,Ice,Physical,60,100,TM
Blizzard,Ice,Special,110,70,TM
Body Slam,Normal,Physical,85,100,TM
Brine,Water,Special,65,100,"Level, TM"
Charm,Fairy,Status,0,100,Level
Chilling Water,Water,Special,50,100,TM
Confide,Normal,Status,0,0,TM
Curse,Ghost,Status,0,0,TM
Dive,Water,Physical,80,100,"Level, TM"
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Drill Run,Ground,Physical,80,95,TM
Echoed Voice,Normal,Special,40,100,TM
Encore,Normal,Status,0,100,"Level, TM"
Endeavor,Normal,Physical,0,100,TM
Endure,Normal,Status,0,0,TM
Facade,Normal,Physical,70,100,TM
Fling,Dark,Physical,0,100,TM
Flip Turn,Water,Physical,60,100,TM
Frost Breath,Ice,Special,60,90,TM
Frustration,Normal,Physical,0,100,TM
Giga Impact,Normal,Physical,150,90,TM
Growl,Normal,Status,0,100,Level
Hail,Ice,Status,0,0,TM
Haze,Ice,Status,0,0,TM
Headbutt,Normal,Physical,70,100,Level
Helping Hand,Normal,Status,0,0,TM
Hidden Power,Normal,Special,60,100,TM
Hyper Beam,Normal,Special,150,90,TM
Ice Beam,Ice,Special,90,100,"Level, TM"
Ice Shard,Ice,Physical,40,100,Level
Ice Spinner,Ice,Physical,80,100,TM
Icicle Spear,Ice,Physical,25,100,TM
Icy Wind,Ice,Special,55,95,"Level, TM"
Iron Tail,Steel,Physical,100,75,TM
Liquidation,Water,Physical,85,100,TM
Megahorn,Bug,Physical,120,85,TM
Muddy Water,Water,Special,90,85,TM
Pay Day,Normal,Physical,40,100,TM
Play Rough,Fairy,Physical,90,90,TM
Protect,Normal,Status,0,0,TM
Rain Dance,Water,Status,0,0,TM
Rest,Psychic,Status,0,0,"Level, TM"
Return,Normal,Physical,0,100,TM
Round,Normal,Special,60,100,TM
Safeguard,Normal,Status,0,0,"Level, TM"
Secret Power,Normal,Physical,70,100,TM
Sheer Cold,Ice,Special,200,20,Level
Signal Beam,Bug,Special,75,100,"Level, TM"
Sleep Talk,Normal,Status,0,0,TM
Smart Strike,Steel,Physical,70,0,TM
Snore,Normal,Special,50,100,TM
Snowscape,Ice,Status,0,0,"Level, TM"
Strength,Normal,Physical,80,100,TM
Substitute,Normal,Status,0,0,TM
Surf,Water,Special,90,100,TM
Swagger,Normal,Status,0,85,TM
Take Down,Normal,Physical,90,85,"Level, TM"
Tera Blast,Normal,Special,80,100,TM
Thief,Dark,Physical,60,100,TM
Toxic,Poison,Status,0,90,TM
Triple Axel,Ice,Physical,20,90,TM
Water Pulse,Water,Special,60,100,TM
Waterfall,Water,Physical,80,100,TM
Weather Ball,Normal,Special,50,100,TM
Whirlpool,Water,Special,35,85,TM
