Name,Type,Category,Power,Accuracy,Source
Acrobatics,Flying,Physical,55,100,"Level, TM"
Aerial Ace,Flying,Physical,60,0,TM
Agility,Psychic,Status,0,0,"Level, TM"
Air Cutter,Flying,Special,60,95,"Level, TM"
Air Slash,Flying,Special,75,95,"Level, TM"
Alluring Voice,Fairy,Special,80,100,TM
Attract,Normal,Status,0,100,TM
Baton Pass,Normal,Status,0,0,"Level, TM"
Calm Mind,Psychic,Status,0,0,TM
Charm,Fairy,Status,0,100,TM
Confide,Normal,Status,0,0,TM
Covet,Normal,Physical,60,100,TM
Defog,Flying,Status,0,0,TM
Double Team,Normal,Status,0,0,TM
Dual Wingbeat,Flying,Physical,40,90,TM
Embargo,Dark,Status,0,100,TM
Endure,Normal,Status,0,0,TM
Facade,Normal,Physical,70,100,TM
Feather Dance,Flying,Status,0,100,"Level, TM"
Flatter,Dark,Status,0,100,Level
Fly,Flying,Physical,90,95,TM
Frustration,Normal,Physical,0,100,TM
Growl,Normal,Status,0,100,Level
Helping Hand,Normal,Status,0,0,"Level, TM"
Hidden Power,Normal,Special,60,100,TM
Hurricane,Flying,Special,110,70,"Level, TM"
Icy Wind,Ice,Special,55,95,TM
Peck,Flying,Physical,35,100,Level
Pluck,Flying,Physical,60,100,TM
Pound,Normal,Physical,40,100,Level
Protect,Normal,Status,0,0,TM
Quash,Dark,Status,0,100,TM
Rain Dance,Water,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Revelation Dance,Normal,Special,90,100,Level
Reversal,Fighting,Physical,0,100,TM
Roost,Flying,Status,0,0,"Level, TM"
Round,Normal,Special,60,100,TM
Safeguard,Normal,Status,0,0,TM
Sandstorm,Rock,Status,0,0,TM
Secret Power,Normal,Physical,70,100,TM
Sleep Talk,Normal,Status,0,0,TM
Snore,Normal,Special,50,100,TM
Steel Wing,Steel,Physical,70,90,TM
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Swagger,Normal,Status,0,85,TM
Swift,Normal,Special,60,0,TM
Swords Dance,Normal,Status,0,0,TM
Tailwind,Flying,Status,0,0,TM
Take Down,Normal,Physical,90,85,TM
Taunt,Dark,Status,0,100,TM
Teeter Dance,Normal,Status,0,100,Level
Tera Blast,Normal,Special,80,100,TM
Toxic,Poison,Status,0,90,TM
Trailblaze,Grass,Physical,50,100,TM
U-Turn,Bug,Physical,70,100,TM
Work Up,Normal,Status,0,0,TM
