Name,Type,Category,Power,Accuracy,Source
Agility,Psychic,Status,0,0,"Level, TM"
Aqua Tail,Water,Physical,90,90,TM
Assurance,Dark,Physical,60,100,TM
Attract,Normal,Status,0,100,TM
Baton Pass,Normal,Status,0,0,"Level, TM"
Bug Bite,Bug,Physical,60,100,"Level, TM"
Bulldoze,Ground,Physical,60,100,TM
Confide,Normal,Status,0,0,TM
Cross Poison,Poison,Physical,70,100,TM
Cut,Normal,Physical,50,95,TM
Defense Curl,Normal,Status,0,0,Level
Dig,Ground,Physical,80,100,TM
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,Level
Earthquake,Ground,Physical,100,100,TM
Endeavor,Normal,Physical,0,100,TM
Endure,Normal,Status,0,0,TM
Facade,Normal,Physical,70,100,TM
Frustration,Normal,Physical,0,100,TM
Giga Impact,Normal,Physical,150,90,TM
Gyro Ball,Steel,Physical,0,100,TM
Hex,Ghost,Special,65,100,TM
Hidden Power,Normal,Special,60,100,TM
Hyper Beam,Normal,Special,150,90,TM
Infestation,Bug,Special,20,100,TM
Iron Defense,Steel,Status,0,0,"Level, TM"
Iron Tail,Steel,Physical,100,75,TM
Megahorn,Bug,Physical,120,85,"Level, TM"
Payback,Dark,Physical,50,100,TM
Pin Missile,Bug,Physical,25,95,TM
Poison Jab,Poison,Physical,80,100,TM
Poison Sting,Poison,Physical,15,100,Level
Poison Tail,Poison,Physical,50,100,"Level, TM"
Protect,Normal,Status,0,0,"Level, TM"
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Rock Climb,Normal,Physical,90,85,TM
Rock Slide,Rock,Physical,75,90,TM
Rock Smash,Fighting,Physical,40,100,TM
Rock Tomb,Rock,Physical,60,95,TM
Rollout,Rock,Physical,30,90,Level
Round,Normal,Special,60,100,TM
Screech,Normal,Status,0,85,"Level, TM"
Secret Power,Normal,Physical,70,100,TM
Signal Beam,Bug,Special,75,100,TM
Skitter Smack,Bug,Physical,70,90,TM
Sleep Talk,Normal,Status,0,0,TM
Sludge Bomb,Poison,Special,90,100,TM
Smart Strike,Steel,Physical,70,0,TM
Snore,Normal,Special,50,100,TM
Solar Beam,Grass,Special,120,100,TM
Spikes,Ground,Status,0,0,TM
Steel Roller,Steel,Physical,130,100,TM
Stomping Tantrum,Ground,Physical,75,100,TM
Strength,Normal,Physical,80,100,TM
Struggle Bug,Bug,Special,50,100,TM
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Superpower,Fighting,Physical,120,100,TM
Swagger,Normal,Status,0,85,TM
Swords Dance,Normal,Status,0,0,TM
Take Down,Normal,Physical,90,85,"Level, TM"
Tera Blast,Normal,Special,80,100,TM
Throat Chop,Dark,Physical,80,100,TM
Toxic,Poison,Status,0,90,"Level, TM"
Toxic Spikes,Poison,Status,0,0,TM
Venom Drench,Poison,Status,0,100,"Level, TM"
Venoshock,Poison,Special,65,100,"Level, TM"
X-Scissor,Bug,Physical,80,100,TM
