Name,Type,Category,Power,Accuracy,Source
Acrobatics,Flying,Physical,55,100,TM
Aerial Ace,Flying,Physical,60,0,TM
Air Cutter,Flying,Special,60,95,"Level, TM"
Air Slash,Flying,Special,75,95,"Level, TM"
Ally Switch,Psychic,Status,0,0,TM
Amnesia,Psychic,Status,0,0,"Level, TM"
Assurance,Dark,Physical,60,100,"Level, TM"
Attract,Normal,Status,0,100,"Level, TM"
Baton Pass,Normal,Status,0,0,TM
Calm Mind,Psychic,Status,0,0,"Level, TM"
Charge Beam,Electric,Special,50,90,TM
Charm,Fairy,Status,0,100,TM
Confide,Normal,Status,0,0,TM
Confusion,Psychic,Special,50,100,Level
Defog,Flying,Status,0,0,TM
Double Team,Normal,Status,0,0,TM
Dream Eater,Psychic,Special,100,100,TM
Dual Wingbeat,Flying,Physical,40,90,TM
Embargo,Dark,Status,0,100,TM
Endeavor,Normal,Physical,0,100,"Level, TM"
Endure,Normal,Status,0,0,TM
Energy Ball,Grass,Special,90,100,TM
Expanding Force,Psychic,Special,80,100,TM
Facade,Normal,Physical,70,100,TM
Fake Tears,Dark,Status,0,100,TM
Flash,Normal,Status,0,100,TM
Fly,Flying,Physical,90,95,TM
Frustration,Normal,Physical,0,100,TM
Future Sight,Psychic,Special,120,100,"Level, TM"
Giga Drain,Grass,Special,75,100,TM
Giga Impact,Normal,Physical,150,90,TM
Gust,Flying,Special,40,100,Level
Gyro Ball,Steel,Physical,0,100,TM
Heat Wave,Fire,Special,95,90,TM
Helping Hand,Normal,Status,0,0,TM
Hidden Power,Normal,Special,60,100,TM
Hyper Beam,Normal,Special,150,90,TM
Imprison,Psychic,Status,0,100,"Level, TM"
Knock Off,Dark,Physical,65,100,TM
Light Screen,Psychic,Status,0,0,TM
Nasty Plot,Dark,Status,0,0,TM
Pluck,Flying,Physical,60,100,TM
Protect,Normal,Status,0,0,TM
Psych Up,Normal,Status,0,0,TM
Psychic,Psychic,Special,90,100,"Level, TM"
Psychic Fangs,Psychic,Physical,85,100,TM
Psycho Cut,Psychic,Physical,70,100,TM
Psyshock,Psychic,Special,80,100,TM
Rain Dance,Water,Status,0,0,TM
Reflect,Psychic,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Roost,Flying,Status,0,0,TM
Round,Normal,Special,60,100,TM
Safeguard,Normal,Status,0,0,TM
Secret Power,Normal,Physical,70,100,TM
Shadow Ball,Ghost,Special,80,100,TM
Signal Beam,Bug,Special,75,100,TM
Simple Beam,Normal,Status,0,100,Level
Skill Swap,Psychic,Status,0,0,TM
Sleep Talk,Normal,Status,0,0,TM
Snore,Normal,Special,50,100,TM
Speed Swap,Psychic,Status,0,0,TM
Steel Wing,Steel,Physical,70,90,TM
Stored Power,Psychic,Special,20,100,TM
Substitute,Normal,Status,0,0,TM
Super Fang,Normal,Physical,0,90,TM
Swagger,Normal,Status,0,85,TM
Swift,Normal,Special,60,0,TM
Tailwind,Flying,Status,0,0,TM
Taunt,Dark,Status,0,100,TM
Tera Blast,Normal,Special,80,100,TM
Thief,Dark,Physical,60,100,TM
Thunder Wave,Electric,Status,0,90,TM
Torment,Dark,Status,0,100,TM
Toxic,Poison,Status,0,90,TM
Trick,Psychic,Status,0,100,TM
Trick Room,Psychic,Status,0,0,TM
U-Turn,Bug,Physical,70,100,TM
Uproar,Normal,Special,90,100,TM
Venom Drench,Poison,Status,0,100,TM
Zen Headbutt,Psychic,Physical,80,90,TM
