Name,Type,Category,Power,Accuracy,Source
Ancient Power,Rock,Special,60,100,Level
Attract,Normal,Status,0,100,TM
Body Press,Fighting,Physical,80,100,TM
Body Slam,Normal,Physical,85,100,TM
Bug Bite,Bug,Physical,60,100,TM
Bulldoze,Ground,Physical,60,100,TM
Burning Jealousy,Fire,Special,70,100,TM
Confide,Normal,Status,0,0,TM
Crunch,Dark,Physical,80,100,"Level, TM"
Dark Pulse,Dark,Special,80,100,TM
Dig,Ground,Physical,80,100,TM
Double Team,Normal,Status,0,0,TM
Dragon Pulse,Dragon,Special,85,100,TM
Earth Power,Ground,Special,90,100,"Level, TM"
Earthquake,Ground,Physical,100,100,TM
Endure,Normal,Status,0,0,TM
Explosion,Normal,Physical,250,100,TM
Facade,Normal,Physical,70,100,TM
Fire Blast,Fire,Special,110,85,TM
Fire Fang,Fire,Physical,65,95,"Level, TM"
Fire Spin,Fire,Special,35,85,"Level, TM"
Flame Charge,Fire,Physical,50,100,TM
Flamethrower,Fire,Special,90,100,TM
Flare Blitz,Fire,Physical,120,100,TM
Flash Cannon,Steel,Special,80,100,TM
Frustration,Normal,Physical,0,100,TM
Giga Impact,Normal,Physical,150,90,TM
Hard Press,Steel,Physical,0,100,TM
Heat Crash,Fire,Physical,0,100,TM
Heat Wave,Fire,Special,95,90,"Level, TM"
Heavy Slam,Steel,Physical,0,100,TM
Hidden Power,Normal,Special,60,100,TM
Hyper Beam,Normal,Special,150,90,TM
Incinerate,Fire,Special,60,100,TM
Iron Defense,Steel,Status,0,0,TM
Iron Head,Steel,Physical,80,100,"Level, TM"
Lava Plume,Fire,Special,80,100,Level
Leer,Normal,Status,0,100,Level
Lunge,Bug,Physical,80,100,TM
Magma Storm,Fire,Special,100,75,Level
Metal Claw,Steel,Physical,50,95,"Level, TM"
Metal Sound,Steel,Status,0,85,"Level, TM"
Mud-Slap,Ground,Special,20,100,TM
Nature Power,Normal,Status,0,0,TM
Overheat,Fire,Special,130,90,TM
Payback,Dark,Physical,50,100,TM
Pounce,Bug,Physical,50,100,TM
Power Gem,Rock,Special,80,100,TM
Protect,Normal,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Roar,Normal,Status,0,0,TM
Rock Blast,Rock,Physical,25,90,TM
Rock Climb,Normal,Physical,90,85,TM
Rock Slide,Rock,Physical,75,90,TM
Rock Smash,Fighting,Physical,40,100,TM
Rock Tomb,Rock,Physical,60,95,TM
Round,Normal,Special,60,100,TM
Sandstorm,Rock,Status,0,0,TM
Scary Face,Normal,Status,0,100,"Level, TM"
Scorching Sands,Ground,Special,70,100,TM
Secret Power,Normal,Physical,70,100,TM
Self-Destruct,Normal,Physical,200,100,TM
Sleep Talk,Normal,Status,0,0,TM
Snore,Normal,Special,50,100,TM
Solar Beam,Grass,Special,120,100,TM
Stealth Rock,Rock,Status,0,0,TM
Steel Beam,Steel,Special,140,95,TM
Steel Roller,Steel,Physical,130,100,TM
Stomping Tantrum,Ground,Physical,75,100,TM
Stone Edge,Rock,Physical,100,80,"Level, TM"
Strength,Normal,Physical,80,100,TM
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Swagger,Normal,Status,0,85,TM
Take Down,Normal,Physical,90,85,TM
Taunt,Dark,Status,0,100,TM
Tera Blast,Normal,Special,80,100,TM
Torment,Dark,Status,0,100,TM
Toxic,Poison,Status,0,90,TM
Uproar,Normal,Special,90,100,TM
Will-O-Wisp,Fire,Status,0,85,TM
