Name,Type,Category,Power,Accuracy,Source
Ancient Power,Rock,Special,60,100,Level
Aqua Jet,Water,Physical,40,100,Level
Aqua Tail,Water,Physical,90,90,"Level, TM"
Attract,Normal,Status,0,100,TM
Bide,Normal,Physical,0,0,Level
Bite,Dark,Physical,60,100,Level
Blizzard,Ice,Special,110,70,TM
Body Slam,Normal,Physical,85,100,TM
Brine,Water,Special,65,100,"Level, TM"
Bulldoze,Ground,Physical,60,100,TM
Confide,Normal,Status,0,0,TM
Crunch,Dark,Physical,80,100,"Level, TM"
Curse,Ghost,Status,0,0,Level
Dig,Ground,Physical,80,100,TM
Dive,Water,Physical,80,100,TM
Double Team,Normal,Status,0,0,TM
Earth Power,Ground,Special,90,100,TM
Earthquake,Ground,Physical,100,100,TM
Endure,Normal,Status,0,0,TM
Facade,Normal,Physical,70,100,TM
Focus Blast,Fighting,Special,120,70,TM
Frustration,Normal,Physical,0,100,TM
Giga Impact,Normal,Physical,150,90,TM
Guard Swap,Psychic,Status,0,0,TM
Hidden Power,Normal,Special,60,100,TM
Hydro Pump,Water,Special,110,80,"Level, TM"
Hyper Beam,Normal,Special,150,90,TM
Ice Beam,Ice,Special,90,100,TM
Icy Wind,Ice,Special,55,95,TM
Iron Defense,Steel,Status,0,0,"Level, TM"
Iron Head,Steel,Physical,80,100,TM
Iron Tail,Steel,Physical,100,75,TM
Knock Off,Dark,Physical,65,100,TM
Liquidation,Water,Physical,85,100,TM
Low Kick,Fighting,Physical,0,100,TM
Meteor Beam,Rock,Special,120,90,TM
Mud Shot,Ground,Special,55,95,TM
Muddy Water,Water,Special,90,85,TM
Protect,Normal,Status,0,0,"Level, TM"
Rain Dance,Water,Status,0,0,"Level, TM"
Razor Shell,Water,Physical,75,95,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Rock Blast,Rock,Physical,25,90,TM
Rock Polish,Rock,Status,0,0,TM
Rock Slide,Rock,Physical,75,90,"Level, TM"
Rock Smash,Fighting,Physical,40,100,TM
Rock Tomb,Rock,Physical,60,95,TM
Round,Normal,Special,60,100,TM
Sandstorm,Rock,Status,0,0,TM
Scald,Water,Special,80,100,TM
Secret Power,Normal,Physical,70,100,TM
Shell Smash,Normal,Status,0,0,Level
Sleep Talk,Normal,Status,0,0,TM
Smack Down,Rock,Physical,50,100,"Level, TM"
Snore,Normal,Special,50,100,TM
Stealth Rock,Rock,Status,0,0,TM
Stone Edge,Rock,Physical,100,80,TM
Strength,Normal,Physical,80,100,TM
Substitute,Normal,Status,0,0,TM
Superpower,Fighting,Physical,120,100,TM
Surf,Water,Special,90,100,TM
Swagger,Normal,Status,0,85,TM
Tera Blast,Normal,Special,80,100,TM
Toxic,Poison,Status,0,90,TM
Water Gun,Water,Special,40,100,Level
Water Pulse,Water,Special,60,100,TM
Waterfall,Water,Physical,80,100,TM
Whirlpool,Water,Special,35,85,TM
Wide Guard,Rock,Status,0,0,Level
Withdraw,Water,Status,0,0,Level
Zen Headbutt,Psychic,Physical,80,90,TM
