Name,Type,Category,Power,Accuracy,Source
Aerial Ace,Flying,Physical,60,0,TM
Aqua Tail,Water,Physical,90,90,TM
Assurance,Dark,Physical,60,100,TM
Attract,Normal,Status,0,100,TM
Beat Up,Dark,Physical,0,100,TM
Bite,Dark,Physical,60,100,Level
Body Slam,Normal,Physical,85,100,TM
Breaking Swipe,Dragon,Physical,60,100,TM
Brick Break,Fighting,Physical,75,100,TM
Brutal Swing,Dark,Physical,60,100,TM
Bulk Up,Fighting,Status,0,0,TM
Bulldoze,Ground,Physical,60,100,TM
Close Combat,Fighting,Physical,120,100,TM
Confide,Normal,Status,0,0,TM
Counter,Fighting,Physical,0,100,TM
Crunch,Dark,Physical,80,100,"Level, TM"
Curse,Ghost,Status,0,0,TM
Cut,Normal,Physical,50,95,TM
Dark Pulse,Dark,Special,80,100,TM
Darkest Lariat,Dark,Physical,85,100,TM
Dig,Ground,Physical,80,100,"Level, TM"
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Dragon Claw,Dragon,Physical,80,100,TM
Dragon Pulse,Dragon,Special,85,100,TM
Dragon Tail,Dragon,Physical,60,90,TM
Earth Power,Ground,Special,90,100,TM
Earthquake,Ground,Physical,100,100,"Level, TM"
Embargo,Dark,Status,0,100,TM
Endeavor,Normal,Physical,0,100,TM
Endure,Normal,Status,0,0,TM
Facade,Normal,Physical,70,100,TM
Fire Fang,Fire,Physical,65,95,TM
Fling,Dark,Physical,0,100,TM
Focus Blast,Fighting,Special,120,70,TM
Focus Energy,Normal,Status,0,0,TM
Focus Punch,Fighting,Physical,150,100,TM
Foul Play,Dark,Physical,95,100,"Level, TM"
Frustration,Normal,Physical,0,100,TM
Giga Impact,Normal,Physical,150,90,TM
Grass Knot,Grass,Special,0,100,TM
Gunk Shot,Poison,Physical,120,80,TM
Helping Hand,Normal,Status,0,0,TM
Hidden Power,Normal,Special,60,100,TM
High Horsepower,Ground,Physical,95,95,TM
Hone Claws,Dark,Status,0,0,"Level, TM"
Hyper Beam,Normal,Special,150,90,TM
Incinerate,Fire,Special,60,100,TM
Iron Tail,Steel,Physical,100,75,TM
Knock Off,Dark,Physical,65,100,TM
Lash Out,Dark,Physical,75,100,TM
Leer,Normal,Status,0,100,Level
Low Kick,Fighting,Physical,0,100,TM
Low Sweep,Fighting,Physical,65,100,TM
Mega Kick,Normal,Physical,120,75,TM
Mega Punch,Normal,Physical,80,85,TM
Mud Shot,Ground,Special,55,95,TM
Mud-Slap,Ground,Special,20,100,TM
Outrage,Dragon,Physical,120,100,"Level, TM"
Payback,Dark,Physical,50,100,TM
Power Trip,Dark,Physical,20,100,Level
Power-Up Punch,Fighting,Physical,40,100,TM
Protect,Normal,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Retaliate,Normal,Physical,70,100,TM
Return,Normal,Physical,0,100,TM
Revenge,Fighting,Physical,60,100,TM
Roar,Normal,Status,0,0,TM
Rock Climb,Normal,Physical,90,85,TM
Rock Slide,Rock,Physical,75,90,TM
Rock Smash,Fighting,Physical,40,100,TM
Rock Tomb,Rock,Physical,60,95,TM
Round,Normal,Special,60,100,TM
Sand Attack,Ground,Status,0,100,Level
Sand Tomb,Ground,Physical,35,85,"Level, TM"
Sandstorm,Rock,Status,0,0,"Level, TM"
Scale Shot,Dragon,Physical,25,90,TM
Scary Face,Normal,Status,0,100,"Level, TM"
Scorching Sands,Ground,Special,70,100,TM
Secret Power,Normal,Physical,70,100,TM
Shadow Claw,Ghost,Physical,70,100,TM
Skitter Smack,Bug,Physical,70,90,TM
Sleep Talk,Normal,Status,0,0,TM
Sludge Bomb,Poison,Special,90,100,TM
Smack Down,Rock,Physical,50,100,TM
Snarl,Dark,Special,55,95,TM
Snore,Normal,Special,50,100,TM
Spite,Ghost,Status,0,100,TM
Stealth Rock,Rock,Status,0,0,TM
Stomping Tantrum,Ground,Physical,75,100,TM
Stone Edge,Rock,Physical,100,80,TM
Strength,Normal,Physical,80,100,TM
Substitute,Normal,Status,0,0,TM
Superpower,Fighting,Physical,120,100,TM
Swagger,Normal,Status,0,85,"Level, TM"
Take Down,Normal,Physical,90,85,TM
Taunt,Dark,Status,0,100,TM
Tera Blast,Normal,Special,80,100,TM
Thief,Dark,Physical,60,100,TM
Thrash,Normal,Physical,120,100,Level
Throat Chop,Dark,Physical,80,100,TM
Thunder Fang,Electric,Physical,65,95,TM
Torment,Dark,Status,0,100,"Level, TM"
Toxic,Poison,Status,0,90,TM
Uproar,Normal,Special,90,100,TM
