Name,Type,Category,Power,Accuracy,Source
Acrobatics,Flying,Physical,55,100,TM
Aerial Ace,Flying,Physical,60,0,TM
Air Cutter,Flying,Special,60,95,TM
Air Slash,Flying,Special,75,95,TM
Attract,Normal,Status,0,100,TM
Baton Pass,Normal,Status,0,0,TM
Body Slam,Normal,Physical,85,100,TM
Brick Break,Fighting,Physical,75,100,TM
Bug Bite,Bug,Physical,60,100,TM
Bug Buzz,Bug,Special,90,100,"Level, TM"
Charge Beam,Electric,Special,50,90,TM
Charm,Fairy,Status,0,100,"Level, TM"
Confide,Normal,Status,0,0,TM
Confuse Ray,Ghost,Status,0,100,TM
Counter,Fighting,Physical,0,100,TM
Covet,Normal,Physical,60,100,TM
Dazzling Gleam,Fairy,Special,80,100,TM
Defog,Flying,Status,0,0,TM
Disarming Voice,Fairy,Special,40,0,TM
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Draining Kiss,Fairy,Special,50,100,TM
Encore,Normal,Status,0,100,"Level, TM"
Endeavor,Normal,Physical,0,100,TM
Endure,Normal,Status,0,0,TM
Facade,Normal,Physical,70,100,TM
Fake Tears,Dark,Status,0,100,TM
Flash,Normal,Status,0,100,TM
Flatter,Dark,Status,0,100,Level
Fling,Dark,Physical,0,100,TM
Focus Punch,Fighting,Physical,150,100,TM
Frustration,Normal,Physical,0,100,TM
Giga Drain,Grass,Special,75,100,TM
Helping Hand,Normal,Status,0,0,"Level, TM"
Hidden Power,Normal,Special,60,100,TM
Ice Punch,Ice,Physical,75,100,TM
Infestation,Bug,Special,20,100,"Level, TM"
Light Screen,Psychic,Status,0,0,TM
Mega Kick,Normal,Physical,120,75,TM
Mega Punch,Normal,Physical,80,85,TM
Metronome,Normal,Status,0,0,TM
Moonlight,Fairy,Status,0,0,Level
Mud-Slap,Ground,Special,20,100,TM
Play Nice,Normal,Status,0,0,Level
Play Rough,Fairy,Physical,90,90,"Level, TM"
Pounce,Bug,Physical,50,100,TM
Power-Up Punch,Fighting,Physical,40,100,TM
Protect,Normal,Status,0,0,TM
Psych Up,Normal,Status,0,0,TM
Quick Attack,Normal,Physical,40,100,Level
Rain Dance,Water,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Roost,Flying,Status,0,0,TM
Round,Normal,Special,60,100,TM
Secret Power,Normal,Physical,70,100,TM
Shadow Ball,Ghost,Special,80,100,TM
Skitter Smack,Bug,Physical,70,90,TM
Sleep Talk,Normal,Status,0,0,TM
Snore,Normal,Special,50,100,TM
Solar Beam,Grass,Special,120,100,TM
Struggle Bug,Bug,Special,50,100,"Level, TM"
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Swagger,Normal,Status,0,85,TM
Sweet Scent,Normal,Status,0,100,Level
Swift,Normal,Special,60,0,TM
Tackle,Normal,Physical,40,100,Level
Tailwind,Flying,Status,0,0,TM
Take Down,Normal,Physical,90,85,TM
Tera Blast,Normal,Special,80,100,TM
Thief,Dark,Physical,60,100,TM
Thunder,Electric,Special,110,70,TM
Thunder Punch,Electric,Physical,75,100,TM
Thunder Wave,Electric,Status,0,90,TM
Thunderbolt,Electric,Special,90,100,TM
Toxic,Poison,Status,0,90,TM
Trailblaze,Grass,Physical,50,100,TM
Trick,Psychic,Status,0,100,TM
U-Turn,Bug,Physical,70,100,TM
Water Pulse,Water,Special,60,100,TM
Wish,Normal,Status,0,0,Level
Zen Headbutt,Psychic,Physical,80,90,"Level, TM"
Glitzy Glow,Fairy,Special,80,96,Egg
