Name,Type,Category,Power,Accuracy,Source
Aerial Ace,Flying,Physical,60,0,TM
Agility,Psychic,Status,0,0,"Level, TM"
Air Cutter,Flying,Special,60,95,TM
Ancient Power,Rock,Special,60,100,Level
Aqua Tail,Water,Physical,90,90,TM
Assurance,Dark,Physical,60,100,TM
Attract,Normal,Status,0,100,TM
Bite,Dark,Physical,60,100,Level
Brutal Swing,Dark,Physical,60,100,TM
Bulldoze,Ground,Physical,60,100,TM
Confide,Normal,Status,0,0,TM
Crunch,Dark,Physical,80,100,"Level, TM"
Curse,Ghost,Status,0,0,TM
Defog,Flying,Status,0,0,TM
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Dragon Claw,Dragon,Physical,80,100,TM
Dragon Dance,Dragon,Status,0,0,TM
Dragon Pulse,Dragon,Special,85,100,TM
Dual Wingbeat,Flying,Physical,40,90,TM
Earth Power,Ground,Special,90,100,TM
Earthquake,Ground,Physical,100,100,TM
Endure,Normal,Status,0,0,TM
Facade,Normal,Physical,70,100,TM
Fire Blast,Fire,Special,110,85,TM
Fire Fang,Fire,Physical,65,95,TM
Flamethrower,Fire,Special,90,100,TM
Fly,Flying,Physical,90,95,TM
Frustration,Normal,Physical,0,100,TM
Giga Impact,Normal,Physical,150,90,"Level, TM"
Heat Wave,Fire,Special,95,90,TM
Hidden Power,Normal,Special,60,100,TM
Hone Claws,Dark,Status,0,0,TM
Hurricane,Flying,Special,110,70,TM
Hyper Beam,Normal,Special,150,90,"Level, TM"
Ice Fang,Ice,Physical,65,95,TM
Incinerate,Fire,Special,60,100,TM
Iron Head,Steel,Physical,80,100,"Level, TM"
Iron Tail,Steel,Physical,100,75,TM
Meteor Beam,Rock,Special,120,90,TM
Payback,Dark,Physical,50,100,TM
Protect,Normal,Status,0,0,TM
Psychic Fangs,Psychic,Physical,85,100,TM
Rain Dance,Water,Status,0,0,TM
Reflect,Psychic,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Roar,Normal,Status,0,0,"Level, TM"
Rock Blast,Rock,Physical,25,90,TM
Rock Polish,Rock,Status,0,0,TM
Rock Slide,Rock,Physical,75,90,"Level, TM"
Rock Smash,Fighting,Physical,40,100,TM
Rock Tomb,Rock,Physical,60,95,TM
Roost,Flying,Status,0,0,TM
Round,Normal,Special,60,100,TM
Sandstorm,Rock,Status,0,0,TM
Scary Face,Normal,Status,0,100,"Level, TM"
Secret Power,Normal,Physical,70,100,TM
Sky Drop,Flying,Physical,60,100,TM
Sleep Talk,Normal,Status,0,0,TM
Smack Down,Rock,Physical,50,100,TM
Snore,Normal,Special,50,100,TM
Stealth Rock,Rock,Status,0,0,TM
Steel Wing,Steel,Physical,70,90,TM
Stone Edge,Rock,Physical,100,80,"Level, TM"
Strength,Normal,Physical,80,100,TM
Substitute,Normal,Status,0,0,TM
Sunny Day,Fire,Status,0,0,TM
Supersonic,Normal,Status,0,55,Level
Swagger,Normal,Status,0,85,TM
Swift,Normal,Special,60,0,TM
Tailwind,Flying,Status,0,0,TM
Take Down,Normal,Physical,90,85,"Level, TM"
Taunt,Dark,Status,0,100,TM
Tera Blast,Normal,Special,80,100,TM
Thief,Dark,Physical,60,100,TM
Thunder Fang,Electric,Physical,65,95,TM
Torment,Dark,Status,0,100,TM
Toxic,Poison,Status,0,90,TM
Wing Attack,Flying,Physical,60,100,Level
