Name,Type,Category,Power,Accuracy,Source
Attract,Normal,Status,0,100,TM
Aurora Beam,Ice,Special,65,100,Level
Avalanche,Ice,Physical,60,100,TM
Blizzard,Ice,Special,110,70,TM
Body Slam,Normal,Physical,85,100,TM
Brine,Water,Special,65,100,TM
Chilling Water,Water,Special,50,100,TM
Confide,Normal,Status,0,0,TM
Curse,Ghost,Status,0,0,TM
Dive,Water,Physical,80,100,TM
Double Team,Normal,Status,0,0,TM
Double-Edge,Normal,Physical,120,100,TM
Drill Run,Ground,Physical,80,95,TM
Endure,Normal,Status,0,0,TM
Explosion,Normal,Physical,250,100,TM
Facade,Normal,Physical,70,100,TM
Frost Breath,Ice,Special,60,90,TM
Frustration,Normal,Physical,0,100,TM
Giga Impact,Normal,Physical,150,90,TM
Hail,Ice,Status,0,0,TM
Helping Hand,Normal,Status,0,0,TM
Hidden Power,Normal,Special,60,100,TM
Hydro Pump,Water,Special,110,80,"Level, TM"
Hyper Beam,Normal,Special,150,90,TM
Ice Beam,Ice,Special,90,100,"Level, TM"
Ice Shard,Ice,Physical,40,100,Level
Ice Spinner,Ice,Physical,80,100,TM
Icicle Crash,Ice,Physical,85,90,Level
Icicle Spear,Ice,Physical,25,100,"Level, TM"
Icy Wind,Ice,Special,55,95,TM
Iron Defense,Steel,Status,0,0,"Level, TM"
Leer,Normal,Status,0,100,Level
Light Screen,Psychic,Status,0,0,TM
Liquidation,Water,Physical,85,100,TM
Mud Shot,Ground,Special,55,95,TM
Payback,Dark,Physical,50,100,TM
Pin Missile,Bug,Physical,25,95,TM
Poison Jab,Poison,Physical,80,100,TM
Protect,Normal,Status,0,0,"Level, TM"
Rain Dance,Water,Status,0,0,TM
Razor Shell,Water,Physical,75,95,"Level, TM"
Reflect,Psychic,Status,0,0,TM
Rest,Psychic,Status,0,0,TM
Return,Normal,Physical,0,100,TM
Rock Blast,Rock,Physical,25,90,TM
Round,Normal,Special,60,100,TM
Scary Face,Normal,Status,0,100,TM
Screech,Normal,Status,0,85,TM
Secret Power,Normal,Physical,70,100,TM
Self-Destruct,Normal,Physical,200,100,TM
Shell Smash,Normal,Status,0,0,Level
Signal Beam,Bug,Special,75,100,TM
Sleep Talk,Normal,Status,0,0,TM
Smart Strike,Steel,Physical,70,0,TM
Snore,Normal,Special,50,100,TM
Snowscape,Ice,Status,0,0,TM
Spikes,Ground,Status,0,0,"Level, TM"
Steel Roller,Steel,Physical,130,100,TM
Substitute,Normal,Status,0,0,TM
Supersonic,Normal,Status,0,55,Level
Surf,Water,Special,90,100,TM
Swagger,Normal,Status,0,85,TM
Swift,Normal,Special,60,0,TM
Tackle,Normal,Physical,40,100,Level
Take Down,Normal,Physical,90,85,TM
Tera Blast,Normal,Special,80,100,TM
Torment,Dark,Status,0,100,TM
Toxic,Poison,Status,0,90,TM
Toxic Spikes,Poison,Status,0,0,"Level, TM"
Tri Attack,Normal,Special,80,100,TM
Water Gun,Water,Special,40,100,Level
Water Pulse,Water,Special,60,100,TM
Waterfall,Water,Physical,80,100,TM
Weather Ball,Normal,Special,50,100,TM
Whirlpool,Water,Special,35,85,"Level, TM"
Withdraw,Water,Status,0,0,Level
